species	class	copy_number	bp	percent
dana	DNA/hAT	1404.0	224599.0	0.0033986599233079744
dana	LTR/Gypsy	23701.0	14633748.0	0.2214396896486103
dana	DNA/CMC	1374.0	451240.0	0.006828219643869698
dana	DNA/TcMar	119.0	16066.0	0.00024311270454394684
dana	Unknown	31260.0	2117857.0	0.03204767478571702
dana	LTR/Copia	1290.0	880677.0	0.013326513587678916
dana	LTR/Pao	21746.0	11953352.0	0.180879604947454
dana	RC/Helitron	20452.0	5817882.0	0.08803691197171334
dana	LINE/Jockey	9734.0	5762928.0	0.08720534122818613
dana	LINE/RTE	699.0	708915.0	0.010727389701342715
dana	LINE/I	1361.0	739054.0	0.011183456787253958
dana	LINE/CR1	9869.0	6197958.0	0.09378826914165266
dana	LINE/LOA	3205.0	1681997.0	0.0254521872093119
dana	DNA/hAT	49.0	12297.0	0.00018607972910350518
dana	DNA/hAT	3129.0	989479.0	0.014972918945564545
dana	DNA/Kolobok	1870.0	655121.0	0.009913372221681501
dana	DNA/TcMar	4268.0	1106889.0	0.016749581627035028
dana	DNA	1049.0	330697.0	0.005004148017837022
dana	DNA/P	521.0	159885.0	0.0024193996493221052
dana	LINE/I	3438.0	560196.0	0.008476955348854776
dana	DNA/Ginger	136.0	13560.0	0.00020519160174380175
dana	LINE/R1	2415.0	798550.0	0.012083757638090921
dana	DNA/hAT	138.0	61283.0	0.0009273419564650002
dana	DNA/PiggyBac	461.0	97173.0	0.001470433887629089
dana	DNA/PIF	86.0	11509.0	0.00017415561537385062
dana	DNA/CMC	404.0	128089.0	0.0019382586339057393
dana	LINE/R1	283.0	40197.0	0.000608265989328584
dana	DNA/hAT	214.0	72695.0	0.0011000297558086776
dana	DNA/TcMar	1847.0	433828.0	0.006564739100391595
dana	LTR/ERV1	102.0	8645.0	0.00013081721217368482
dana	DNA/Maverick	189.0	243061.0	0.003678029197009602
dana	DNA/hAT	108.0	74068.0	0.0011208061620914388
dana	DNA/MULE	348.0	100349.0	0.0015184935135242451
