species	class	copy_number	bp	percent
dana	Unknown	55909.0	10257461.0	0.14739809084294914
dana	DNA	85.0	14927.0	0.0002144986270981388
dana	Chimera	271.0	38839.0	0.0005581102818962024
dana	DNA	90.0	30851.0	0.0004433239863739988
dana	DNA	132.0	82806.0	0.0011899091120445154
dana	DNA	54.0	15633.0	0.00022464373534033657
dana	LTR	244.0	217700.0	0.0031283145387060235
dana	Chimera	9676.0	5121661.0	0.07359745782555642
dana	LTR	911.0	769596.0	0.011058972695130918
dana	LTR	678.0	338377.0	0.004862423925878402
dana	Chimera	377.0	156951.0	0.002255361025100823
dana	LTR	147.0	105910.0	0.0015219099347466925
dana	LTR	890.0	390900.0	0.005617171121636126
dana	LTR	700.0	138962.0	0.0019968619427086194
dana	LTR	184.0	47882.0	0.0006880567604148913
dana	Chimera	8809.0	4265172.0	0.06128984647534152
dana	LTR	459.0	282984.0	0.004066435284433557
dana	LTR	154.0	62059.0	0.0008917780062359078
dana	DNA	45.0	43367.0	0.0006231769251266152
dana	DNA	23.0	5922.0	8.509820256415743e-05
dana	LINE	114.0	11044.0	0.0001587005317660511
dana	LINE	282.0	197333.0	0.0028356439727444914
dana	LINE	7890.0	4696682.0	0.06749057686852955
dana	LINE	1534.0	1034188.0	0.014861117850966032
dana	LTR	206.0	85076.0	0.0012225286527099387
dana	LTR	152.0	123884.0	0.0017801934695133533
dana	LTR	586.0	335884.0	0.004826599910513248
dana	DNA	138.0	29158.0	0.0004189958443711081
dana	LTR	413.0	273753.0	0.003933787275674736
dana	Chimera	6352.0	1312756.0	0.018864095914439893
dana	Chimera	6917.0	2699104.0	0.038785697219474426
dana	DNA	47.0	12228.0	0.00017571442434220145
dana	RC	1134.0	156612.0	0.0022504896487635633
dana	DNA	984.0	334566.0	0.004807660459148919
dana	DNA	389.0	74764.0	0.001074346845070359
dana	DNA	72.0	36654.0	0.0005267121777755195
dana	LTR	109.0	22839.0	0.00032819281465092733
dana	LTR	574.0	465975.0	0.0066959869874760655
dana	LTR	737.0	650643.0	0.009349636915054218
dana	Chimera	416.0	152009.0	0.0021843452674054384
dana	Chimera	59.0	19786.0	0.00028432168793218824
dana	LINE	456.0	190846.0	0.002742426809618235
dana	Chimera	565.0	357717.0	0.005140336664411128
dana	LINE	289.0	123703.0	0.0017775925281651411
dana	LINE	205.0	62800.0	0.0009024260589377046
dana	DNA	98.0	5673.0	8.152011198015283e-05
dana	Chimera	2867.0	395923.0	0.00568935083650944
dana	LINE	1324.0	127494.0	0.0018320685980605686
dana	Chimera	862.0	210177.0	0.003020210219575636
dana	RC	178.0	89432.0	0.0012851236831674649
dana	DNA	119.0	57657.0	0.0008285219630600514
dana	LTR	286.0	107015.0	0.0015377886098283194
dana	LTR	636.0	454034.0	0.006524396707702575
dana	DNA	170.0	13486.0	0.0001937916852043612
dana	Chimera	332.0	71440.0	0.0010265814912501531
dana	DNA	81.0	45467.0	0.0006533535927025576
dana	DNA	51.0	12445.0	0.0001788326799917155
dana	LINE	163.0	71116.0	0.0010219256625384364
dana	LTR	138.0	97000.0	0.00139387464517448
dana	LTR	163.0	161781.0	0.0023247673605254903
dana	RC	123.0	39195.0	0.0005632259455424098
dana	LINE	55.0	33119.0	0.0004759147873560165
dana	LTR	1606.0	905560.0	0.013012753852414455
dana	LINE	449.0	171944.0	0.0024708080617513485
dana	DNA	76.0	18885.0	0.0002713744605579387
dana	DNA	129.0	70622.0	0.0010148269607372384
dana	Chimera	564.0	161117.0	0.0023152257856348113
dana	DNA	42.0	28445.0	0.00040875014723699055
dana	DNA	192.0	87318.0	0.0012547458378076829
dana	DNA	243.0	73189.0	0.0010517143443884022
dana	LTR	1005.0	856307.0	0.012304996039024983
dana	LTR	161.0	54586.0	0.0007843921791906615
dana	DNA	48.0	17982.0	0.0002583984935002835
dana	LINE	1079.0	621354.0	0.008928758621420039
dana	LINE	642.0	608017.0	0.0087371080426294
dana	LINE	84.0	46473.0	0.0006678096534556042
dana	LTR	475.0	603531.0	0.008672644932750505
dana	Chimera	202.0	28292.0	0.0004065515614564576
dana	LTR	182.0	91004.0	0.0013077130743243133
dana	DNA	86.0	15273.0	0.00021947059232731787
dana	DNA	463.0	127929.0	0.0018383194792012995
dana	LINE	1391.0	1509439.0	0.021690399490077544
dana	LTR	437.0	383150.0	0.005505804848439196
dana	LINE	1231.0	867029.0	0.012459069481762723
dana	DNA	111.0	38498.0	0.0005532101658755374
dana	DNA	134.0	46008.0	0.0006611276770637884
dana	LTR	69.0	7520.0	0.00010806120960527927
dana	LTR	183.0	23283.0	0.0003345730243669837
dana	LTR	22.0	4241.0	6.094249866170072e-05
dana	LTR	393.0	98888.0	0.0014210049063094225
dana	LTR	872.0	584330.0	0.008396729602214473
dana	DNA	229.0	52314.0	0.0007517438988418325
dana	LTR	285.0	73820.0	0.0010607817145028879
dana	LTR	538.0	358921.0	0.005157637953821336
dana	LTR	389.0	243198.0	0.003494716762444775
dana	LTR	433.0	146357.0	0.002103126922101045
dana	LINE	34.0	8448.0	0.00012139642270550523
dana	LTR	133.0	119824.0	0.0017218519121998648
dana	LTR	87.0	28333.0	0.0004071407249662736
dana	DNA	170.0	210179.0	0.0030202389592590417
dana	Chimera	28.0	24805.0	0.0003564439234386905
dana	LTR	1527.0	331157.0	0.0047586736687839715
dana	LTR	1559.0	309730.0	0.00445077107061744
dana	LTR	69.0	33670.0	0.0004838325701342757
dana	LTR	112.0	37549.0	0.000539573186099552
dana	LTR	419.0	77278.0	0.0011104726271112728
dana	LINE	1384.0	529414.0	0.007607595375261878
dana	LTR	205.0	28761.0	0.00041329101721508476
dana	LINE	211.0	141639.0	0.0020353300089470945
dana	LTR	1081.0	1097741.0	0.015774364400705967
dana	DNA	301.0	84138.0	0.0012090497411926845
dana	LTR	246.0	53354.0	0.0007666885342127753
dana	LINE	872.0	182206.0	0.0026182713773057866
dana	LTR	1635.0	778709.0	0.011189925062568806
dana	LTR	1585.0	900386.0	0.012938404291444014
dana	LINE	159.0	23823.0	0.0003423327388865117
dana	Chimera	3619.0	321690.0	0.004622634377383283
dana	LINE	143.0	9661.0	0.00013882704069103765
dana	LINE	565.0	444045.0	0.00638085635893301
