## species	class	freq	bp	percent
dana	Unknown	55909	18676964.0	0.23941850712601198
dana	DNA/hAT-Ac::Hoana6	85	14927.0	0.00019134801865388726
dana	Chimera/DNA/hAT-Ac	271	38839.0	0.0004978740333957478
dana	DNA/hAT-Ac::Hoana5	90	30851.0	0.0003954765005353437
dana	DNA/CMC-Transib::Transib-3_DAn	132	82806.0	0.0010614834884875588
dana	DNA/TcMar-Tigger	54	15633.0	0.0002003981761650847
dana	LTR/Gypsy	244	217700.0	0.002790678881285674
dana	Chimera/LTR/Gypsy	9676	5121661.0	0.06565416256226214
dana	LTR/Gypsy::Gypsy-18_DBp-I	911	769596.0	0.009865389546724527
dana	LTR/Gypsy::Gypsy-1_DBi-I	678	338377.0	0.00433762768862105
dana	Chimera/LINE/Jockey	377	156951.0	0.0020119423109631043
dana	LTR/Copia::Copia-1_DBi-I	147	105910.0	0.0013576518158794936
dana	LTR/Pao::BEL-21_DAn-I	890	390900.0	0.005010915823126183
dana	LTR/Pao::BEL-22_DAn-I	700	138962.0	0.0017813427593073947
dana	LTR/Pao::BEL-22_DAn-LTR	184	47882.0	0.0006137955268429979
dana	Chimera/LTR/Pao	8809	4265172.0	0.054674898601061006
dana	LTR/Pao::BEL-13_DAn-I	459	282984.0	0.0036275492537517005
dana	LTR/Pao::BEL-17_DAn-I	154	62059.0	0.0007955293555062363
dana	DNA/CMC-Transib::Transib-1_DAn	45	43367.0	0.0005559181030992918
dana	DNA/CMC-Transib::Transib-2_DAn	23	5922.0	7.591364416616335e-05
dana	LINE/RTE-BovB::RTE-1BN1_DAn	114	11044.0	0.00014157215234230126
dana	LINE/RTE-BovB::RTE-1B_DAn	282	197333.0	0.002529595937899614
dana	LINE/CR1::CR1-2_DAn	7890	4696682.0	0.06020639076488086
dana	LINE/R1-LOA::Loa-1_DAn	1534	1034188.0	0.013257173224065543
dana	LTR/Pao::BEL-20_DAn-I	206	85076.0	0.001090582436859256
dana	LTR/Gypsy::Gypsy-11_DAn-I	152	123884.0	0.00158805908373539
dana	LTR/Pao::BEL-19_DAn-I	586	335884.0	0.004305670121092133
dana	DNA/hAT-Ac::Hoana2	138	29158.0	0.0003737740689964524
dana	LTR/Pao::BEL-15_DAn-I	413	273753.0	0.0035092178033467943
dana	Chimera/RC/Helitron	6352	1312756.0	0.016828114127152304
dana	Chimera/Unknown	6917	2699104.0	0.03459959821402705
dana	DNA/hAT-Blackjack	47	12228.0	0.00015674975360753892
dana	RC/Helitron::Helitron-N1_DAn	1134	156612.0	0.002007596697087331
dana	DNA/Kolobok-Hydra::Kolobok-N1_DAn	984	334566.0	0.004288774784548566
dana	DNA/CMC-Transib::Transib-8_DAn	389	74764.0	0.000958393733947828
dana	DNA/hAT-hobo::Hoana8	72	36654.0	0.0004698646932229908
dana	LTR/Gypsy::Gypsy-1_DSim-I	109	22839.0	0.0002927713135952389
dana	LTR/Gypsy::Gypsy-15_DAn-I	574	465975.0	0.005973296241190133
dana	LTR/Gypsy::Gypsy-30_DAn-I	737	650643.0	0.008340540557447656
dana	Chimera/DNA/P	416	152009.0	0.0019485912083847222
dana	Chimera/LINE/I	59	19786.0	0.0002536351508733043
dana	LINE/I::I-2_DEu	456	190846.0	0.002446439603940495
dana	Chimera/LTR/Copia	565	357717.0	0.004585545601179915
dana	LINE/I::I-1_DAn	289	123703.0	0.0015857388592176468
dana	LINE/I::I-3_DBp	205	62800.0	0.0008050281752169974
dana	DNA/MULE-MuDR	98	5673.0	7.272173308926793e-05
dana	Chimera/LINE/I-Jockey	2867	395923.0	0.005075305258223555
dana	LINE/R1::R1A_DAn	1324	127494.0	0.00163433538489038
dana	Chimera/LINE/R1	862	210177.0	0.002694242146219472
dana	RC/Helitron::Helitron-1_DAna	178	89432.0	0.0011464216523249444
dana	DNA/hAT-hobo::Hoana1	119	57657.0	0.0007391004697211213
dana	LTR/Gypsy::Gypsy-8_DAn-I	286	107015.0	0.0013718167224657163
dana	LTR/Gypsy::Gypsy-21_DBp-I	636	454034.0	0.005820225517619016
dana	DNA/TcMar-Tc1	170	13486.0	0.00017287595495185394
dana	Chimera/DNA	332	71440.0	0.0009157836439092722
dana	DNA/TcMar-Tc1::Uhu_DAn	81	45467.0	0.0005828378350731086
dana	DNA/hAT-hobo::Hoana3	51	12445.0	0.00015953145924483333
dana	LINE/I::I-6_DBp	163	71116.0	0.0009116303138333118
dana	LTR/Gypsy::Gypsy-23_DBp-I	138	97000.0	0.0012434352387905852
dana	LTR/Gypsy::Gypsy-33_DEl-I	163	161781.0	0.002073857694502883
