species	assembly_size	contig_count	avg_contig_size	N_50
dana	189221946	371	510032.19946091645	2612784
dbia	182453935	661	276027.1331316188	2791184
dbip	163165444	570	286255.1649122807	567431
dere	130293209	58	2246434.6379310344	16960765
deug	159429531	546	291995.478021978	1010701
dmau	134165749	266	504382.515037594	4738483
dmel	131856353	208	633924.7740384615	3866686
dmoj	168142858	122	1378220.1475409835	5220960
dper	163933157	415	395019.65542168677	3429058
dpse	159031139	361	440529.4709141274	2983193
dsec	138120607	109	1267161.5321100918	7712364
dsim	133725236	76	1759542.5789473683	7762389
dtri	173623250	482	360214.2116182573	741655
dvir	169714588	141	1203649.560283688	4170062
dwil	194955081	489	398681.1472392638	1515988
dyak	143252825	111	1290565.990990991	5227393
