Species	short	grouping	assembly	tes	rmod_bp	trf	raw_TE_bp_percent	trf_percent
Drosophila_erecta	dere	2	130293209	376	15503450	8417317	0.118988934	0.064602883
Drosophila_yakuba	dyak	2	143252825	643	26469385	6830550	0.184773913	0.047681782
Drosophila_mauritiana	dmau	3	134165749	408	19247890	5521983	0.143463515	0.041157919
Drosophila_sechellia	dsec	1	138120607	493	25195115	6942519	0.182413874	0.05026418
Drosophila_pseudoobscura	dpse	6	159031139	753	36141237	13630482	0.22725887	0.085709516
Drosophila_simulans	dsim	1	133725236	368	17810904	5711927	0.133190298	0.042713905
Drosophila_triauraria	dtri	4	173623250	954	36570547	6885449	0.210631623	0.039657413
Drosophila_persimilis	dper	6	163933157	858	41279193	9488341	0.251805027	0.057879328
Drosophila_ananassae	dana	5	189221946	994	70606884	15441219	0.373143208	0.081603743
Drosophila_eugracilis	deug	4	159429531	778	38563904	7993523	0.241886831	0.050138283
Drosophila_biarmipes	dbia	4	182453935	1122	55103538	7750690	0.302013426	0.042480257
Drosophila_mojavensis	dmoj	8	168142858	464	29018702	11576655	0.172583613	0.068850114
Drosophila_virilis	dvir	7	169714588	556	40528742	17020950	0.238805294	0.100291614
Drosophila_willistoni	dwil	9	194955081	1179	55438001	9179593	0.284362945	0.047085682
Drosophila_bipectinata	dbip	5	163165444	944	51396809	11389460	0.314998125	0.069803138
Drosophila_melanogaster	dmel	1	131856353	582	18673095	18120796	0.141616953	0.137428312
