##RMOD_seq	RMASK_align
rnd-4_family-196#LTR/Pao	LTR/Pao::BEL-14_DAn-I
rnd-4_family-196#LTR/Pao	LTR/Pao::BEL-14_DAn-LTR
rnd-1_family-30#LTR/Pao	LTR/Pao::BEL-18_DAn-I
rnd-1_family-30#LTR/Pao	LTR/Pao::BEL-18_DAn-LTR
rnd-1_family-341#LTR/Gypsy	LTR/Gypsy::Gypsy-22_DAn-I
rnd-1_family-341#LTR/Gypsy	LTR/Gypsy::Gypsy-22_DAn-LTR
rnd-1_family-249#LTR/Pao	LTR/Pao::BEL-13_DAn-I
rnd-1_family-249#LTR/Pao	LTR/Pao::BEL-13_DAn-LTR
rnd-1_family-2#RC/Helitron	DNA/PiggyBac::piggyBac-3B_DAn
rnd-1_family-2#RC/Helitron	RC/Helitron::Helitron-N1_DAn
rnd-1_family-2#RC/Helitron	Unknown::MINIME_DN
rnd-5_family-619#LTR/Gypsy	LTR/Gypsy::Gypsy-1_DBi-I
rnd-1_family-86#LTR/Pao	LTR/Pao::BEL-1_DBp-I
rnd-1_family-86#LTR/Pao	LTR/Pao::BEL-1_DBp-LTR
rnd-1_family-86#LTR/Pao	LINE/R1::R1-1_DAn
rnd-1_family-86#LTR/Pao	LTR/Gypsy::Gypsy-10_DMoj-I
rnd-1_family-89#LTR/Gypsy	LTR/Gypsy::TABOR_DA-I
rnd-1_family-89#LTR/Gypsy	LTR/Pao::BEL-14_DAn-I
rnd-2_family-16#LTR/Pao	LTR/Pao::BEL-18_DAn-LTR
rnd-2_family-16#LTR/Pao	LTR/Pao::BEL-18_DAn-I
rnd-4_family-89#LTR/Pao	LTR/Pao::BEL-18_DAn-LTR
rnd-4_family-89#LTR/Pao	LTR/Pao::BEL-18_DAn-I
rnd-1_family-236#DNA/P	DNA/P::P-1_DBp
rnd-1_family-236#DNA/P	DNA/P::P-1N1_DBp
rnd-1_family-5#DNA/TcMar-Tc1	DNA/PiggyBac::piggyBac-3B_DAn
rnd-1_family-5#DNA/TcMar-Tc1	DNA/TcMar-Tc1::Mariner-8_DAn
rnd-1_family-5#DNA/TcMar-Tc1	DNA/hAT-Ac::hAT-N1B_DBp
rnd-1_family-5#DNA/TcMar-Tc1	DNA/hAT-hobo::Hoana8
rnd-1_family-5#DNA/TcMar-Tc1	RC/Helitron::Helitron-N1_DAn
rnd-1_family-5#DNA/TcMar-Tc1	DNA::DNA2-1_DAn
rnd-1_family-5#DNA/TcMar-Tc1	RC/Helitron::Helitron-N1_DAn
rnd-1_family-84#LINE/R1	LINE/R1::R1-1_DAn
rnd-1_family-84#LINE/R1	LTR/Gypsy::Gypsy-10_DMoj-I
rnd-1_family-84#LINE/R1	LTR/Pao::BEL-1_DBp-LTR
rnd-1_family-84#LINE/R1	LTR/Pao::BEL-1_DBp-I
rnd-1_family-144#LTR/Gypsy	LTR/Gypsy::Gypsy-30_DAn-I
rnd-1_family-144#LTR/Gypsy	LTR/Gypsy::Gypsy-30_DAn-LTR
rnd-1_family-378#DNA	DNA::DNA-1_DBp
rnd-1_family-682#LTR/Gypsy	LTR/Gypsy::Gypsy-23_DBp-I
rnd-1_family-275#LTR/Gypsy	LTR/Gypsy::Gypsy-8_DSim-I
rnd-1_family-275#LTR/Gypsy	LTR/Gypsy::Gypsy-1_DBi-LTR
rnd-1_family-7#RC/Helitron	RC/Helitron::Helitron-N1_DAn
rnd-1_family-7#RC/Helitron	DNA/hAT-Ac::hAT-N1B_DBp
rnd-1_family-118#LTR/Pao	LTR/Pao::BEL-5_DAn-I
rnd-1_family-118#LTR/Pao	LTR/Pao::BEL-5_DAn-LTR
rnd-1_family-9#RC/Helitron	DNA/PiggyBac::piggyBac-3B_DAn
rnd-1_family-9#RC/Helitron	DNA/hAT-Ac::hAT-N1B_DBp
rnd-1_family-9#RC/Helitron	DNA/hAT-hobo::Hoana8
rnd-1_family-9#RC/Helitron	RC/Helitron::Helitron-N1_DBp
rnd-5_family-2791#LINE/Jockey	LINE/I-Jockey::Jockey-3_DAn
rnd-5_family-2791#LINE/Jockey	DNA/hAT?::hAT-N1_DF
rnd-5_family-2791#LINE/Jockey	LINE/I-Jockey::Jockey-3_DAn
rnd-5_family-2791#LINE/Jockey	RC/Helitron::Helitron-N1_DAn
rnd-1_family-10#RC/Helitron	DNA/hAT-Ac::hAT-N1B_DBp
rnd-1_family-10#RC/Helitron	DNA/hAT-hobo::Hoana8
rnd-1_family-10#RC/Helitron	RC/Helitron::Helitron-N1_DAn
rnd-1_family-140#LTR/Pao	LTR/Pao::BEL-21_DAn-LTR
rnd-1_family-140#LTR/Pao	LTR/Pao::BEL-22_DAn-I
rnd-4_family-173#LTR/Pao	LTR/Pao::BEL-11_DAn-I
rnd-4_family-173#LTR/Pao	LTR/Pao::BEL-12_DAn-LTR
rnd-4_family-173#LTR/Pao	LTR/Pao::BEL-3_DMoj-I
rnd-4_family-173#LTR/Pao	LINE/CR1::CR1-2_DAn
rnd-1_family-850#LTR/Gypsy	LTR/Gypsy::Gypsy-41_DAn-I
rnd-1_family-850#LTR/Gypsy	LTR/Gypsy::Gypsy-41_DAn-LTR
rnd-3_family-22#Unknown	LTR/Pao::BEL-11_DAn-I
rnd-3_family-22#Unknown	LTR/Pao::BEL-10_DAn-I
rnd-3_family-22#Unknown	LTR/Pao::BEL-11_DAn-LTR
rnd-1_family-695#LTR/Gypsy	LTR/Gypsy::Gypsy-12_DAn-LTR
rnd-1_family-695#LTR/Gypsy	LTR/Gypsy::Gypsy-12_DAn-I
rnd-5_family-2147#LINE/R1	LINE/R1::R1-2_DBp
rnd-5_family-2147#LINE/R1	LINE/R1::R1-1_DAn
rnd-5_family-2984#LTR/Copia	LTR/Copia::Copia-3_DAn-I
rnd-5_family-2984#LTR/Copia	LTR/Copia::Copia-3_DAn-LTR
rnd-5_family-2961#LTR/Gypsy	LTR/Gypsy::Gypsy-19_DAn-LTR
rnd-5_family-2961#LTR/Gypsy	LTR/Gypsy::Gypsy-19_DAn-I
rnd-1_family-769#LTR/Gypsy	LTR/Gypsy::Gypsy-34_DAn-I
rnd-1_family-769#LTR/Gypsy	LTR/Gypsy::Gypsy-34_DAn-LTR
rnd-4_family-896#LTR/Gypsy	LTR/Gypsy::Gypsy-6_DAn-LTR
rnd-4_family-896#LTR/Gypsy	LTR/Gypsy::Gypsy-6_DAn-I
rnd-4_family-163#LTR/Pao	LTR/Pao::BEL-10_DAn-LTR
rnd-4_family-163#LTR/Pao	LTR/Pao::BEL-10_DAn-I
rnd-4_family-569#LINE/Jockey	LINE/I-Jockey::Jockey-11_DAn
rnd-1_family-491#LTR/Gypsy	LTR/Gypsy::Gypsy-29_DEl-I
rnd-1_family-491#LTR/Gypsy	LTR/Gypsy::Gypsy-36_DAn-LTR
rnd-5_family-2567#LTR/Gypsy	LTR/Gypsy::Gypsy-39_DAn-I
rnd-5_family-2567#LTR/Gypsy	LTR/Gypsy::Gypsy-39_DAn-LTR
rnd-1_family-159#LTR/Gypsy	LTR/Gypsy::Gypsy-24_DBp-I
rnd-1_family-149#LTR/Pao	LTR/Pao::BEL-2_DBp-I
rnd-1_family-149#LTR/Pao	LTR/Pao::BEL-9_DAn-LTR
rnd-1_family-192#LTR/Pao	LTR/Pao::BEL-15_DAn-I
rnd-1_family-192#LTR/Pao	LTR/Pao::BEL-15_DAn-LTR
rnd-1_family-437#Unknown	LTR/Gypsy::Gypsy-31_DAn-LTR
rnd-1_family-437#Unknown	LTR/Gypsy::Gypsy-31_DAn-I
rnd-5_family-985#LTR/Gypsy	LTR/Gypsy::Gypsy-34_DAn-LTR
rnd-5_family-985#LTR/Gypsy	LTR/Gypsy::Gypsy-34_DAn-I
rnd-5_family-857#LTR/Gypsy	LTR/Gypsy::Gypsy-42_DAn-LTR
rnd-5_family-857#LTR/Gypsy	LTR/Gypsy::Gypsy-42_DAn-I
rnd-5_family-1787#LINE/Jockey	LINE/I-Jockey::Jockey-4_DVi
rnd-5_family-1787#LINE/Jockey	LINE/I-Jockey::Jockey-3_DK
rnd-5_family-1787#LINE/Jockey	LINE/I-Jockey::Jockey-4B_DVi
rnd-5_family-334#LINE/CR1	LINE/CR1::CR1-3_DAn
rnd-1_family-45#LTR/Pao	LTR/Pao::BEL-10_DAn-I
rnd-1_family-45#LTR/Pao	DNA/CMC-Transib::Transib1_Dwil
rnd-1_family-45#LTR/Pao	DNA/CMC-Transib::Transib1_Dmoj
rnd-1_family-45#LTR/Pao	LTR/Pao::BEL-12_DAn-I
rnd-1_family-45#LTR/Pao	LTR/Pao::BEL-12_DAn-LTR
rnd-1_family-45#LTR/Pao	LTR/Pao::BEL-3_DMoj-I
rnd-1_family-45#LTR/Pao	LTR/Pao::BEL-10_DAn-LTR
rnd-1_family-45#LTR/Pao	LTR/Pao::BEL-3_DMoj-I
rnd-1_family-304#LTR/Gypsy	LTR/Gypsy::Gypsy-1_DBi-LTR
rnd-1_family-304#LTR/Gypsy	LTR/Gypsy::Gypsy-5_DWil-I
rnd-1_family-399#LTR/Gypsy	LTR/Gypsy::Gypsy-15_DAn-I
rnd-1_family-322#DNA/TcMar-Mariner	LTR/Gypsy::Gypsy-13_DAn-I
rnd-1_family-322#DNA/TcMar-Mariner	DNA/TcMar-Mariner::Mariner-1_DEl
rnd-1_family-13#RC/Helitron	DNA/CMC-Transib::Transib-4_DRh
rnd-1_family-13#RC/Helitron	RC/Helitron::Helitron-N1_DAn
rnd-1_family-13#RC/Helitron	DNA/CMC-Transib::Transib-1_DK
rnd-1_family-29#LTR/Pao	LINE/I-Jockey::Jockey-7_DRh
rnd-1_family-29#LTR/Pao	LTR/Pao::BEL-1_DBp-I
